Rough CF (Hz),OBW (Hz),Channel Power (dBm),Peak Power (dBm),isBT
2428975000,750000,-37.4422208,-43.9344635,1
2430975000,750000,-37.62237626,-44.06019592,1
2411975000,750000,-40.83474051,-47.25853729,1
2428975000,750000,-37.44751402,-43.85411835,1
2431000000,700000,-37.67666028,-44.08470154,1
2411975000,750000,-40.82687679,-47.33172989,1
2428975000,750000,-37.40145699,-43.76306152,1
2430975000,750000,-37.61378774,-43.96808624,1
2411975000,750000,-40.86331875,-47.40661621,1
2409700000,10800000,-31.38832433,-53.30663681,0
2415950000,1200000,-36.59858298,-48.69326782,1
2428975000,750000,-37.54341612,-44.25950623,1
2430975000,750000,-37.60155996,-43.98500061,1
2411975000,750000,-40.86498311,-47.44731522,1
2428975000,750000,-37.425415,-43.92810822,1
2430975000,750000,-37.61018745,-44.06896591,1
2411975000,750000,-40.82593242,-47.19859314,1
2428975000,750000,-37.46309582,-43.88936615,1
2430975000,750000,-37.60629192,-43.96749878,1
2411975000,750000,-40.89117442,-47.38541412,1
2428975000,750000,-37.42425738,-43.7263031,1
2431000000,700000,-37.61667396,-44.01610565,1
2411975000,750000,-40.96092492,-47.58688354,1
2430975000,750000,-37.62164102,-43.99101257,1
2411975000,750000,-40.85562077,-47.19761658,1
2428975000,750000,-37.44546014,-43.83399582,1
2430975000,750000,-37.58760654,-44.06266785,1
2411975000,750000,-40.83974941,-47.27613068,1
2428975000,750000,-37.45056761,-43.80474472,1
2431000000,700000,-37.68708162,-44.19418716,1
2411975000,750000,-40.86037771,-47.32336426,1
2428975000,750000,-37.4996925,-44.00730515,1
2430975000,750000,-37.64537233,-44.07192993,1
2411975000,750000,-40.87195413,-47.41634369,1
2414200000,11800000,-30.52831121,-52.91406631,0
2414200000,11800000,-30.47745305,-52.670578,0
2409700000,10800000,-31.33677765,-53.28235245,0
2414200000,11800000,-30.48850294,-52.57772446,0
2414200000,11800000,-30.43471455,-52.73315048,0
2428000000,1100000,-34.27945727,-42.78656387,1
2413750000,12700000,-30.3803166,-52.85427094,0
2413750000,12700000,-30.41041241,-52.78119659,0
2409700000,10800000,-31.54049588,-53.42707062,0
2409700000,10800000,-31.5322446,-53.46806335,0
2414200000,11800000,-30.45869397,-52.83660126,0
2411925000,17850000,-38.23224231,-58.12288666,0
2411900000,16500000,-43.5571574,-64.29592896,0
2409700000,10800000,-31.47737852,-53.43712234,0
2414200000,11800000,-30.42925723,-52.62653732,0
2411975000,17950000,-40.0339058,-59.76372528,0
2409700000,10800000,-31.46831268,-53.34326172,0
2413825000,12550000,-30.37052331,-52.75579834,0
2409250000,11700000,-31.46228635,-53.38899231,0
2414200000,11800000,-30.43570049,-52.75523758,0
2414200000,11800000,-30.42773538,-52.75898743,0
2409250000,11700000,-31.44574495,-53.45553589,0
2409250000,11700000,-31.42960848,-53.42594147,0
2411975000,18050000,-54.17134189,-77.29322815,0
2409250000,11700000,-31.39631951,-53.3245163,0
2411975000,17950000,-39.34663825,-61.05736542,0
2409700000,10800000,-31.44689814,-53.38125229,0
2409700000,10800000,-31.47235707,-53.40536499,0
2413750000,12700000,-30.42210271,-52.71511078,0
2432050000,1000000,-34.69697355,-43.19771576,1
2409250000,11700000,-31.41731195,-53.47460938,0
2413750000,12700000,-30.35643346,-52.76852036,0
2413750000,12700000,-30.36754895,-52.74343872,0
2432050000,1000000,-34.18229825,-42.84367371,1
2409250000,11700000,-31.38632665,-53.2970047,0
2426000000,1300000,-34.01197202,-46.22609711,1
2409700000,10800000,-31.46871779,-53.31583405,0
2409600000,11000000,-31.45789462,-53.32717133,0
2414200000,11800000,-30.42655048,-52.76771545,0
2432050000,1000000,-34.51116607,-43.03318405,1
2409250000,11700000,-31.41356898,-53.35474014,0
2409700000,10800000,-31.46174451,-53.42919159,0
2413750000,12700000,-30.39550479,-52.79163361,0
2409700000,10800000,-31.45796488,-53.35569763,0
2409700000,10800000,-31.48760901,-53.35158539,0
2409700000,10800000,-31.4831436,-53.40837479,0
2409700000,10800000,-31.45229757,-53.2957077,0
2413750000,12700000,-30.40142662,-52.70164108,0
2409250000,11700000,-31.43205802,-53.43999481,0
2409700000,10800000,-31.46310551,-53.28914642,0
2411825000,17550000,-40.74000755,-60.93479156,0
2412100000,16500000,-44.3560507,-66.21800232,0
2409700000,10800000,-31.48024922,-53.35609436,0
2409700000,10800000,-31.48564609,-53.35898972,0
2409700000,10800000,-31.51246359,-53.50797653,0
2409700000,10800000,-31.51110668,-53.3640976,0
2409250000,11700000,-31.4257765,-53.31309891,0
2414200000,11800000,-30.4072858,-52.70618057,0
2409700000,10800000,-31.43619635,-53.27542114,0
2409700000,10800000,-31.50709812,-53.43181992,0
2409700000,10800000,-31.49166981,-53.30955124,0
2409700000,10800000,-31.50454431,-53.3421402,0
2409700000,10800000,-31.47643739,-53.37757874,0
2414200000,11800000,-30.40575874,-52.64702225,0
2409700000,10800000,-31.47675562,-53.27577209,0
2409700000,10800000,-31.46850375,-53.35351944,0
2414200000,11800000,-30.43249519,-52.77267075,0
2409250000,11700000,-31.44401404,-53.45012283,0
2409250000,11700000,-31.47286411,-53.53686523,0
2409250000,11700000,-31.43401097,-53.38005066,0
2412000000,17900000,-38.80217356,-59.52203369,0
2414200000,11800000,-30.40321551,-52.72902679,0
2430000000,1100000,-34.57156135,-43.21730042,1
2409700000,10800000,-31.45642359,-53.25740814,0
2412000000,17900000,-39.67036925,-60.57671356,0
2409700000,10800000,-31.44576769,-53.20921326,0
2409700000,10800000,-31.49149503,-53.46588898,0
2409250000,11700000,-31.43720921,-53.34838486,0
2430000000,1100000,-34.65405208,-43.22985077,1
2413750000,12700000,-30.39151851,-52.76525879,0
2414200000,11800000,-30.39673746,-52.7477684,0
2412000000,17900000,-39.18602486,-59.3120575,0
2412000000,16900000,-44.31429408,-65.33203125,0
2409700000,10800000,-31.48208681,-53.25798416,0
2413750000,12700000,-30.33224346,-52.64463425,0
2430000000,1100000,-34.50162039,-43.00734711,1
2412025000,17850000,-41.03619211,-61.73067474,0
2409700000,10800000,-31.51569646,-53.34642792,0
2411825000,18250000,-53.87334663,-76.15510559,0
2409700000,10800000,-31.54815492,-53.46118546,0
2409250000,11700000,-31.50030508,-53.39040375,0
2413750000,12700000,-30.35573332,-52.63491821,0
2414200000,11800000,-30.39294814,-52.72325516,0
2413750000,12700000,-30.35941327,-52.6921463,0
2409700000,10800000,-31.51763721,-53.43571091,0
2414200000,11800000,-30.41526905,-52.61399078,0
